,FREQUENCY,SEX,AGE,BELGIUM,BULGARIA,CZECHIA,DENMARK,GERMANY,ESTONIA,IRELAND,GREECE,SPAIN,CROATIA,ITALY,CYPRUS,LATVIA,LITHUANIA,LUXEMBOURG,HUNGARY,MALTA,AUSTRIA,POLAND,PORTUGAL,ROMANIA,SLOVENIA,SLOVAKIA,FINLAND,SWEDEN,UNITED KINGDOM,ICELAND,NORWAY
151,WEEK,M,Y55-64,46.1,34.6,48.6,56.0,50.9,34.8,65.3,40.7,28.4,34.7,30.4,30.9,26.6,23.6,54.8,40.8,30.2,52.0,27.6,35.4,19.0,47.8,33.7,60.8,60.9,63.9,52.1,60.8
152,WEEK,M,Y65-74,33.7,22.7,43.4,42.5,48.7,20.4,56.6,22.5,18.8,26.0,31.9,37.8,11.1,14.2,52.6,33.2,40.0,39.6,19.4,30.8,25.3,41.9,26.2,54.9,58.0,57.5,46.4,50.5
153,WEEK,M,Y75+,51.6,12.1,35.9,33.5,41.7,10.3,46.0,35.5,13.6,13.6,20.2,11.4,14.9,6.0,42.3,19.3,0.0,29.1,23.7,13.6,4.1,23.8,15.7,39.0,43.8,40.7,10.8,37.2
154,WEEK,F,Y15-24,33.1,6.2,21.5,22.6,26.3,10.7,29.4,24.6,15.5,4.5,14.4,8.5,7.9,5.6,18.8,6.3,34.4,21.1,7.9,10.8,1.3,14.7,6.4,19.2,14.2,29.7,7.6,10.2
155,WEEK,F,Y25-34,25.5,13.0,25.7,23.7,28.8,17.3,32.4,19.8,21.0,7.9,20.1,9.7,12.9,6.9,31.1,8.9,26.6,18.0,13.3,14.4,5.1,18.5,8.5,23.3,25.5,35.6,12.2,19.5
156,WEEK,F,Y35-44,37.1,15.1,31.0,32.2,32.9,15.7,40.5,19.9,20.8,11.1,20.4,8.2,13.7,9.2,39.0,7.3,22.2,20.3,11.8,14.9,7.0,16.9,11.1,32.2,35.8,46.4,14.0,23.7
157,WEEK,F,Y45-54,36.4,16.6,27.9,44.6,39.6,12.5,48.3,18.5,22.5,10.3,19.2,10.2,9.1,7.5,43.5,11.6,23.6,25.5,9.7,19.8,6.4,16.8,8.9,41.6,38.8,47.2,22.4,30.9
158,WEEK,F,Y55-64,30.7,11.6,24.1,42.6,38.8,5.0,44.2,14.1,18.4,9.0,17.2,7.2,4.9,3.2,40.3,7.7,12.4,25.2,5.8,15.8,5.6,16.3,7.2,35.3,47.4,46.4,17.1,35.9
159,WEEK,F,Y65-74,31.2,6.7,18.3,43.9,35.9,2.5,33.7,9.1,9.6,3.7,11.4,4.8,3.3,2.8,33.9,8.0,13.4,22.0,3.4,9.6,4.6,18.8,3.3,26.5,41.6,39.5,16.1,34.9
160,WEEK,F,Y75+,20.9,5.0,11.7,32.1,22.7,0.9,18.2,5.6,4.2,8.9,9.2,3.3,1.3,0.2,25.4,6.6,5.6,16.4,2.3,6.2,2.8,13.5,2.0,12.0,24.1,24.0,5.4,17.4
161,WEEK,M,Y15-24,45.4,16.8,44.2,29.4,38.9,23.4,33.2,31.8,28.4,11.1,28.9,16.4,12.2,11.6,33.5,21.7,52.1,36.2,16.7,28.0,9.6,28.3,18.8,26.5,17.1,37.0,10.6,17.6
162,WEEK,M,Y25-34,49.0,28.2,53.0,44.8,51.6,35.6,42.1,44.3,37.1,24.6,46.9,30.2,27.1,25.8,54.3,25.6,44.3,42.6,33.1,39.1,29.7,40.0,25.3,45.3,36.3,53.2,26.7,31.4
163,WEEK,M,Y35-44,53.3,34.5,48.5,50.0,48.4,35.6,49.3,31.5,34.8,29.1,42.2,31.7,25.9,29.7,48.4,28.3,37.5,43.7,32.3,34.7,31.6,39.5,27.4,52.6,46.6,52.1,23.4,34.1
164,WEEK,M,Y45-54,46.8,40.6,51.7,53.6,50.2,31.1,54.4,33.8,29.7,27.0,36.8,30.0,24.0,30.4,52.1,26.5,37.7,46.5,27.1,25.4,33.7,38.8,30.8,52.7,49.3,57.7,28.9,40.7
165,WEEK,M,Y55-64,42.7,29.8,43.6,52.5,48.1,26.3,53.1,33.8,20.9,22.0,29.9,25.5,21.1,22.8,48.7,31.2,28.9,45.6,22.8,17.4,30.3,37.8,28.0,53.3,55.7,57.2,39.2,49.0
166,WEEK,M,Y65-74,35.6,27.3,38.6,45.0,45.1,16.9,47.9,25.8,16.1,22.4,24.1,30.4,12.7,14.8,49.7,24.8,24.2,40.2,15.8,14.5,24.8,35.2,19.9,42.4,47.2,50.7,30.1,44.5
167,WEEK,M,Y75+,32.1,15.4,31.7,38.7,38.8,11.5,31.9,19.5,9.5,14.2,16.6,14.2,7.6,10.7,33.2,12.5,10.9,31.6,11.0,9.6,12.5,31.7,14.0,32.9,32.8,37.3,16.0,28.6
