,FREQUENCY,SEX,AGE,BELGIUM,BULGARIA,CZECHIA,DENMARK,GERMANY,ESTONIA,IRELAND,GREECE,SPAIN,CROATIA,ITALY,CYPRUS,LATVIA,LITHUANIA,LUXEMBOURG,HUNGARY,MALTA,AUSTRIA,POLAND,PORTUGAL,ROMANIA,SLOVENIA,SLOVAKIA,FINLAND,SWEDEN,UNITED KINGDOM,ICELAND,NORWAY
72,MTH,F,Y35-44,21.3,28.7,36.2,30.3,31.0,37.8,29.3,29.7,25.5,16.4,26.1,18.0,37.0,54.8,21.5,18.9,28.6,41.5,29.2,27.2,28.4,26.6,35.6,30.8,31.8,20.1,46.8,60.0
73,MTH,F,Y45-54,27.3,25.8,38.2,29.2,30.0,31.3,21.6,32.4,19.5,17.9,21.7,19.6,34.7,45.5,27.5,20.6,30.6,37.7,26.4,18.3,28.8,33.5,31.0,29.9,30.9,14.7,50.4,59.0
74,MTH,F,Y55-64,20.5,25.0,27.6,26.7,25.7,25.9,21.6,22.0,17.9,12.7,16.4,18.9,23.6,29.6,18.8,16.2,10.0,36.1,20.9,10.9,26.2,27.0,23.7,27.3,18.5,12.5,47.7,46.4
75,MTH,F,Y65-74,23.2,18.8,25.8,15.9,24.6,15.7,19.5,15.1,14.4,11.2,13.9,17.1,16.3,15.8,23.0,14.6,0.0,34.2,15.0,27.9,16.3,25.4,16.8,30.6,27.1,11.0,38.0,42.5
76,MTH,F,Y75+,11.5,15.2,18.8,21.9,26.5,5.9,16.8,16.3,13.9,9.7,8.7,4.4,5.6,6.1,20.8,6.0,0.0,23.3,7.9,0.0,9.9,19.7,10.2,18.2,19.9,12.4,21.2,33.1
77,MTH,M,Y15-24,22.8,37.6,24.1,44.0,31.5,31.4,31.4,40.8,33.9,41.5,27.7,34.4,46.1,48.3,36.9,35.3,29.2,41.8,43.9,34.7,30.3,37.7,40.5,45.8,40.8,20.5,53.1,62.5
78,MTH,M,Y25-34,23.7,36.5,27.1,30.6,25.7,42.5,33.4,35.0,26.1,34.0,25.4,35.8,50.9,52.8,27.9,30.4,38.2,35.2,39.3,29.4,36.3,27.9,41.5,35.0,41.3,22.2,44.5,58.2
79,MTH,M,Y35-44,22.6,33.3,24.0,31.8,26.5,33.9,28.4,33.6,23.8,23.0,25.3,34.7,42.5,45.3,25.6,26.7,23.9,33.9,39.1,16.1,35.0,30.3,37.9,24.5,36.4,19.1,45.3,59.9
80,MTH,M,Y45-54,18.7,23.0,15.5,23.4,19.7,29.9,20.9,33.1,19.3,20.2,24.2,26.2,42.9,46.4,18.2,27.9,22.5,27.5,37.3,6.9,33.5,20.9,32.0,25.2,27.0,14.4,46.1,51.9
81,MTH,M,Y55-64,10.2,20.4,17.7,14.3,15.5,26.9,23.9,27.2,14.1,17.5,18.9,30.9,38.8,48.8,16.6,19.5,31.4,20.5,35.0,7.0,32.3,19.8,26.2,26.8,22.7,12.3,38.6,41.1
82,MTH,M,Y65-74,13.8,21.4,13.4,8.3,14.1,35.1,19.3,18.5,9.0,18.2,14.8,32.2,33.1,37.4,9.8,16.0,9.3,18.0,27.1,10.2,31.8,15.5,26.1,33.2,20.2,12.3,34.5,32.9
83,MTH,M,Y75+,20.5,29.2,11.8,11.8,19.1,21.0,12.8,21.6,16.3,9.9,10.8,19.1,18.3,23.8,8.3,9.6,0.0,25.9,19.6,16.9,28.2,16.4,17.5,21.7,24.2,10.6,24.6,26.2
84,MTH,F,Y15-24,24.5,0.0,47.0,41.3,33.9,42.7,49.3,26.7,39.5,16.6,31.3,25.2,36.9,60.3,38.4,36.1,35.4,52.9,35.5,33.5,22.6,40.7,44.1,46.1,0.0,20.9,0.0,76.5
85,MTH,F,Y25-34,36.5,40.2,37.2,40.5,32.9,38.8,43.8,40.2,27.2,31.2,35.0,31.7,37.8,48.0,29.2,28.2,38.2,39.1,35.3,33.0,27.5,35.7,35.0,38.3,33.2,23.7,39.4,60.9
86,MTH,F,Y35-44,27.9,39.2,27.8,37.3,25.3,37.4,31.6,35.9,25.9,25.5,24.0,30.0,42.6,45.6,27.2,29.1,28.8,38.5,36.4,23.5,33.8,36.8,27.4,38.1,29.0,20.5,47.5,55.3
87,MTH,F,Y45-54,30.2,33.0,22.2,19.9,24.2,37.6,23.7,26.7,24.0,12.5,23.6,24.5,40.0,45.1,21.4,29.1,25.0,35.1,37.7,23.1,33.4,31.0,29.4,26.5,27.6,13.3,34.8,48.1
88,MTH,F,Y55-64,25.2,27.0,35.5,19.7,21.0,32.6,19.3,27.2,14.1,18.5,26.0,19.7,37.3,40.9,12.4,37.2,25.7,33.8,31.1,13.9,24.7,34.4,37.1,29.7,22.0,16.2,42.0,39.9
89,MTH,F,Y65-74,8.8,15.0,23.6,18.5,24.4,21.6,16.3,19.3,6.2,14.8,20.4,22.0,18.6,14.2,11.7,13.9,0.0,24.8,23.9,6.8,15.2,27.4,28.4,22.9,19.7,11.7,39.6,32.1
90,MTH,F,Y75+,29.8,10.6,30.3,25.4,19.9,8.8,21.3,35.0,12.7,8.1,5.0,0.0,13.8,10.8,0.0,8.4,0.0,35.1,14.7,5.3,1.7,27.3,0.0,23.4,19.4,11.3,0.0,24.9
91,MTH,M,Y15-24,30.1,0.0,0.0,0.0,23.0,0.0,0.0,0.0,17.8,44.9,25.5,43.9,34.3,62.5,0.0,0.0,20.0,37.4,43.4,18.8,39.9,28.2,51.5,0.0,35.2,20.8,0.0,52.3
92,MTH,M,Y25-34,19.1,35.8,31.2,35.7,26.2,35.0,36.2,35.0,27.1,39.8,23.0,37.1,39.2,60.6,20.7,34.4,33.1,32.4,38.8,29.1,41.0,31.5,37.0,30.9,36.2,20.9,51.9,48.3
93,MTH,M,Y35-44,13.4,40.9,15.6,30.1,23.2,29.3,30.0,27.8,21.4,24.9,25.3,41.3,43.0,49.9,26.2,39.5,32.4,27.6,34.6,22.8,40.3,29.4,39.5,26.1,29.9,16.7,40.0,41.9
94,MTH,M,Y45-54,20.2,31.0,17.0,21.5,17.7,37.2,22.4,35.1,16.4,29.0,32.2,27.2,39.3,56.4,14.9,31.5,21.5,23.2,30.0,11.4,40.2,25.6,38.7,25.6,22.4,11.8,44.8,41.5
95,MTH,M,Y55-64,14.7,25.2,14.9,11.5,13.7,30.9,13.4,20.2,13.2,25.6,21.7,23.4,39.6,50.1,13.2,21.2,23.2,21.1,32.3,12.0,37.6,19.2,24.8,19.1,16.8,9.2,26.1,24.9
96,MTH,M,Y65-74,4.7,22.8,18.9,8.6,13.2,35.2,17.7,27.9,14.2,17.8,13.4,17.1,33.6,20.6,13.6,20.7,19.6,17.4,34.0,7.9,27.9,9.6,24.1,17.1,13.3,8.9,33.9,23.8
97,MTH,M,Y75+,3.5,18.0,17.0,7.5,18.2,24.3,10.8,11.1,9.1,10.9,13.7,25.9,23.0,22.6,3.6,17.0,0.0,26.2,12.1,3.5,24.3,2.8,19.2,20.2,16.7,8.7,30.1,28.5
98,MTH,F,Y15-24,31.0,16.8,41.4,47.0,37.9,25.7,37.2,30.8,29.5,24.5,26.2,18.0,33.3,31.7,33.5,25.8,34.4,44.3,21.8,27.4,14.2,36.9,28.7,39.6,29.6,24.6,38.2,64.5
99,MTH,F,Y25-34,34.3,36.6,41.7,39.3,33.7,36.9,39.7,35.8,25.9,21.9,28.8,25.6,37.7,47.5,30.5,25.5,32.8,35.3,30.1,24.4,27.5,35.2,30.6,38.4,32.0,24.7,39.9,59.9
100,MTH,F,Y35-44,24.0,31.5,34.4,33.4,28.6,36.3,30.4,31.8,23.1,18.7,24.6,21.8,39.0,49.4,25.5,21.9,28.2,39.0,32.0,21.4,29.6,29.6,32.5,36.4,28.5,19.9,45.0,54.9
101,MTH,F,Y45-54,29.4,27.4,34.5,24.2,27.6,34.7,23.0,27.5,18.7,16.0,20.7,19.2,36.4,45.2,24.2,21.7,26.2,35.0,28.4,15.3,28.7,28.6,30.0,28.0,27.8,15.0,41.7,54.3
102,MTH,F,Y55-64,21.5,23.6,27.0,21.9,24.7,27.9,21.8,21.0,15.2,13.5,17.6,14.0,27.9,32.5,17.5,18.5,17.8,34.9,21.6,10.9,24.4,22.4,24.2,29.1,22.3,14.6,42.5,45.7
